serial_no,floor_level,zone_id,year_created,month_created,day_created,time_created,ta,rh,lux
416C1AD2,28,47,2019,1,1,00:00:00,20.55,58,0
416C1AD2,28,47,2019,1,1,00:05:00,20.54,58,0
416C1AD2,28,47,2019,1,1,00:10:00,20.5,60,0
416C1AD2,28,47,2019,1,1,00:15:00,20.57,60,0
416C1AD2,28,47,2019,1,1,00:20:00,20.67,60,0
416C1AD2,28,47,2019,1,1,00:25:00,20.77,60,0
416C1AD2,28,47,2019,1,1,00:30:00,20.84,60,0
416C1AD2,28,47,2019,1,1,00:35:00,20.88,60,0
416C1AD2,28,47,2019,1,1,00:40:00,20.92,60,0
416C1AD2,28,47,2019,1,1,00:45:00,20.96,59,0
416C1AD2,28,47,2019,1,1,00:50:00,20.97,59,0
416C1AD2,28,47,2019,1,1,00:55:00,21,60,0
416C1AD2,28,47,2019,1,1,01:00:00,21.04,61,0
416C1AD2,28,47,2019,1,1,01:05:00,21.08,62,0
416C1AD2,28,47,2019,1,1,01:10:00,21.1,62,0
416C1AD2,28,47,2019,1,1,01:15:00,21.12,60,0
416C1AD2,28,47,2019,1,1,01:20:00,21.11,60,0
416C1AD2,28,47,2019,1,1,01:25:00,21.12,59,0
416C1AD2,28,47,2019,1,1,01:30:00,21.12,59,0
416C1AD2,28,47,2019,1,1,01:35:00,21.1,59,0
416C1AD2,28,47,2019,1,1,01:40:00,21.11,59,0
416C1AD2,28,47,2019,1,1,01:45:00,21.12,59,0
416C1AD2,28,47,2019,1,1,01:50:00,21.13,59,0
416C1AD2,28,47,2019,1,1,01:55:00,21.16,59,0
416C1AD2,28,47,2019,1,1,02:00:00,21.2,58,0
416C1AD2,28,47,2019,1,1,02:05:00,21.24,58,0
416C1AD2,28,47,2019,1,1,02:10:00,21.28,58,0
416C1AD2,28,47,2019,1,1,02:15:00,21.29,58,0
416C1AD2,28,47,2019,1,1,02:20:00,21.32,58,0
416C1AD2,28,47,2019,1,1,02:25:00,21.33,59,0
416C1AD2,28,47,2019,1,1,02:30:00,21.36,60,0
416C1AD2,28,47,2019,1,1,02:35:00,21.39,59,0
416C1AD2,28,47,2019,1,1,02:40:00,21.43,59,0
416C1AD2,28,47,2019,1,1,02:45:00,21.48,58,0
416C1AD2,28,47,2019,1,1,02:50:00,21.5,57,0
416C1AD2,28,47,2019,1,1,02:55:00,21.5,57,0
416C1AD2,28,47,2019,1,1,03:00:00,21.53,57,0
416C1AD2,28,47,2019,1,1,03:05:00,21.55,57,0
416C1AD2,28,47,2019,1,1,03:10:00,21.55,57,0
416C1AD2,28,47,2019,1,1,03:15:00,21.57,57,0
416C1AD2,28,47,2019,1,1,03:20:00,21.6,57,0
416C1AD2,28,47,2019,1,1,03:25:00,21.61,57,0
416C1AD2,28,47,2019,1,1,03:30:00,21.62,57,0
